zpid,sale_price,bedrooms,bathrooms,living_area,year_built,zipcode,lat,lon
2076754538,339000.0,4.0,3.0,2592.0,1920.0,46202.0,39.789364,-86.13505
308924221,650000.0,4.0,4.0,3000.0,2020.0,46202.0,39.794426,-86.14035
88918035,529900.0,3.0,3.0,3432.0,2006.0,46202.0,39.79501,-86.148026
364815180,599900.0,2.0,3.0,1910.0,2025.0,46202.0,39.783806,-86.1529
1078932,629000.0,3.0,5.0,3134.0,2025.0,46202.0,39.770187,-86.13577
112838909,940000.0,4.0,4.0,3618.0,2024.0,46202.0,39.79166,-86.149895
1108767,165000.0,3.0,2.0,1234.0,1930.0,46202.0,39.778736,-86.13581
121077711,1300000.0,4.0,5.0,3434.0,2018.0,46202.0,39.781,-86.13763
1120400,363000.0,2.0,2.0,1120.0,1982.0,46202.0,39.77834,-86.15061
1092970,364000.0,4.0,3.0,2176.0,1890.0,46202.0,39.796947,-86.141716
1120940,575000.0,2.0,3.0,2280.0,1990.0,46202.0,39.777916,-86.14617
88922459,565000.0,4.0,4.0,2568.0,2006.0,46202.0,39.79426,-86.148026
69390715,355000.0,2.0,3.0,2095.0,2004.0,46202.0,39.788017,-86.14446
350213757,234900.0,1.0,1.0,756.0,2002.0,46202.0,39.769924,-86.15009
1092096,340000.0,4.0,4.0,3123.0,1900.0,46202.0,39.786423,-86.14798
1087364,624999.0,5.0,5.0,3430.0,2023.0,46202.0,39.76124,-86.14092
112839183,900000.0,4.0,5.0,4608.0,2017.0,46202.0,39.792305,-86.15267
92465159,489000.0,4.0,4.0,2616.0,2007.0,46202.0,39.792442,-86.148026
1120421,314000.0,2.0,2.0,1250.0,1982.0,46202.0,39.777977,-86.14942
1100059,3500000.0,8.0,10.0,9223.0,1888.0,46202.0,39.786842,-86.14806
112852557,920000.0,4.0,4.0,3547.0,2018.0,46202.0,39.79466,-86.15529
339898939,827795.0,3.0,4.0,2751.0,2025.0,46202.0,39.77507,-86.14388
1120785,224900.0,2.0,2.0,1560.0,1890.0,46202.0,39.7868,-86.159904
331473721,1100000.0,3.0,3.0,2720.0,2015.0,46202.0,39.770847,-86.14466
444079224,269000.0,2.0,3.0,1408.0,2006.0,46202.0,39.80162,-86.14766
1079257,509900.0,3.0,3.0,2228.0,1900.0,46202.0,39.7947,-86.14378
67859562,595000.0,3.0,4.0,2696.0,2003.0,46202.0,39.785217,-86.149765
121077661,459000.0,3.0,3.0,1842.0,2012.0,46202.0,39.76924,-86.14108
1097195,825000.0,7.0,8.0,6066.0,1890.0,46202.0,39.785027,-86.15048
308924179,400000.0,2.0,3.0,1510.0,2017.0,46202.0,39.788303,-86.151375
1097676,750000.0,4.0,4.0,4472.0,1910.0,46202.0,39.791595,-86.15519
1078123,899000.0,4.0,4.0,2960.0,1890.0,46202.0,39.784573,-86.145874
448814924,374900.0,3.0,3.0,2170.0,2025.0,46202.0,39.79536,-86.13645
448814550,374900.0,3.0,3.0,2170.0,2025.0,46202.0,39.795395,-86.13647
123620155,274999.0,2.0,2.0,1679.0,1970.0,46202.0,39.767933,-86.13707
1114110,515000.0,3.0,3.0,2745.0,1872.0,46202.0,39.78722,-86.15367
1073267,474000.0,3.0,4.0,3128.0,1902.0,46202.0,39.787346,-86.14338
92464604,1025000.0,4.0,4.0,4065.0,2008.0,46202.0,39.787888,-86.14649
1086402,615000.0,4.0,4.0,4035.0,2019.0,46202.0,39.79153,-86.14261
336864111,1263000.0,4.0,4.0,2730.0,2024.0,46202.0,39.77885,-86.14798
336864135,1198000.0,3.0,4.0,2482.0,2024.0,46202.0,39.77876,-86.14799
88918390,494900.0,2.0,3.0,1668.0,2006.0,46202.0,39.770924,-86.1477
79603115,349000.0,2.0,2.0,1267.0,1980.0,46202.0,39.77367,-86.14679
1118086,189900.0,3.0,1.0,963.0,1955.0,46202.0,39.783543,-86.17195
444130721,270000.0,2.0,3.0,1936.0,2006.0,46202.0,39.801353,-86.14765
2078210901,379999.0,1.0,1.0,940.0,2020.0,46202.0,39.779095,-86.14842
1103338,624900.0,3.0,3.0,2088.0,1990.0,46202.0,39.785397,-86.146484
112860951,924000.0,4.0,4.0,3352.0,2025.0,46202.0,39.79591,-86.1553
1105352,162900.0,3.0,1.0,1551.0,1920.0,46202.0,39.796906,-86.18491
1093866,950000.0,5.0,4.0,4271.0,1899.0,46202.0,39.794678,-86.15269
1085714,279900.0,2.0,2.0,1254.0,1910.0,46202.0,39.78022,-86.16664
2084638176,350000.0,4.0,3.0,2813.0,1945.0,46202.0,39.786446,-86.14794
123620512,298000.0,2.0,2.0,1939.0,1970.0,46202.0,39.76787,-86.13701
1097421,999900.0,5.0,4.0,6018.0,1880.0,46202.0,39.79523,-86.15203
88921253,235000.0,1.0,1.0,1000.0,1920.0,46202.0,39.78089,-86.14985
1104972,225000.0,3.0,2.0,2127.0,1915.0,46202.0,39.796124,-86.18493
112836238,610000.0,4.0,4.0,4035.0,2018.0,46202.0,39.79163,-86.14266
308924194,525000.0,2.0,2.0,1669.0,2025.0,46202.0,39.788303,-86.151375
125577323,499999.0,2.0,2.0,1318.0,2016.0,46202.0,39.774242,-86.14721
2062600886,412000.0,1.0,1.0,949.0,2022.0,46202.0,39.779095,-86.14842
119237684,264900.0,3.0,3.0,1344.0,2010.0,46202.0,39.795498,-86.14212
88920388,240000.0,3.0,2.0,1592.0,1900.0,46202.0,39.79683,-86.157036
455785816,699900.0,3.0,3.0,2328.0,2025.0,46202.0,39.78384,-86.15265
1120349,364000.0,2.0,2.0,1120.0,1982.0,46202.0,39.777348,-86.15154
1075684,129900.0,2.0,1.0,1093.0,1940.0,46202.0,39.793198,-86.18917
92463998,495000.0,3.0,4.0,2783.0,2008.0,46202.0,39.795715,-86.15641
443324719,349900.0,2.0,3.0,1300.0,2025.0,46202.0,39.797276,-86.144005
112854848,975000.0,5.0,4.0,3844.0,2025.0,46202.0,39.79635,-86.15641
336864222,975000.0,3.0,3.0,3454.0,1907.0,46202.0,39.777615,-86.14687
1120330,365000.0,2.0,2.0,1120.0,1982.0,46202.0,39.77768,-86.15169
1101311,149900.0,2.0,1.0,1728.0,1920.0,46202.0,39.79441,-86.18284
1099654,294000.0,4.0,3.0,2999.0,1925.0,46202.0,39.794113,-86.18648
112856796,575000.0,4.0,4.0,2470.0,2020.0,46202.0,39.793114,-86.140884
1120454,399000.0,3.0,4.0,2292.0,1905.0,46202.0,39.787327,-86.15333
245127730,399000.0,3.0,4.0,2292.0,1905.0,46202.0,39.787315,-86.15337
88919280,269900.0,3.0,2.0,1592.0,1900.0,46202.0,39.79683,-86.157036
1120501,379000.0,2.0,2.0,1462.0,1910.0,46202.0,39.773327,-86.14755
1071826,199900.0,3.0,3.0,1750.0,1924.0,46202.0,39.791412,-86.18346
1099516,395700.0,2.0,3.0,1745.0,1944.0,46202.0,39.779133,-86.135544
444249246,699900.0,3.0,4.0,3367.0,1924.0,46202.0,39.77258,-86.15827
